epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,736.952,1.05441,0.89448,1.16518,0.19495,0.64698,0.2316,0.15043,1.41912,2.95547,1.39002,0.000722078,0.000722078,0.000722078
24,765.235,1.06965,0.84498,1.18997,0.1624,0.75,0.20748,0.11721,1.82848,3.24348,1.46968,0.000734405,0.000734405,0.000734405
25,793.455,1.04424,0.85755,1.14631,0.80973,0.25,0.26726,0.16667,1.70545,2.75393,1.45338,0.000745082,0.000745082,0.000745082
26,827.669,1.00084,0.83329,1.15672,0.49125,0.86376,0.49688,0.30427,1.49805,2.14388,1.36331,0.000754109,0.000754109,0.000754109
27,862.134,0.9763,0.79084,1.11705,0.46333,0.75,0.4197,0.27601,1.41081,2.54304,1.29091,0.000761486,0.000761486,0.000761486
28,890.101,0.94222,0.80026,1.09454,0.52773,0.86517,0.48203,0.31057,1.3918,2.95952,1.30179,0.000767212,0.000767212,0.000767212
29,917.847,0.92506,0.74889,1.07649,0.52773,0.86517,0.48203,0.31057,1.3918,2.95952,1.30179,0.000771288,0.000771288,0.000771288
30,952.599,0.95812,0.81183,1.14938,0.68012,0.75,0.80939,0.55721,1.29566,2.05303,1.33989,0.000773713,0.000773713,0.000773713
31,984.17,0.88357,0.83568,1.07846,0.69742,0.73595,0.76423,0.57859,1.33329,1.9291,1.39006,0.000774488,0.000774488,0.000774488
32,1012.71,0.93275,0.77521,1.10729,0.54754,0.75,0.74739,0.50436,1.53189,2.23502,1.42219,0.000773613,0.000773613,0.000773613
33,1040.29,0.87269,0.67805,1.1267,0.54754,0.75,0.74739,0.50436,1.53189,2.23502,1.42219,0.000771088,0.000771088,0.000771088
34,1067.61,0.87616,0.70677,1.14185,0.45671,0.75,0.31336,0.21257,1.64135,2.72649,1.45744,0.000759318,0.000759318,0.000759318
35,1095.92,0.88874,0.74048,1.12761,0.48974,0.25,0.27292,0.17936,1.58744,2.99642,1.58273,0.000731813,0.000731813,0.000731813
36,1123.68,0.86809,0.64797,1.08654,0.31195,0.625,0.23648,0.14331,1.81418,3.01978,1.75056,0.000704307,0.000704307,0.000704307
37,1151.59,0.93844,0.75795,1.13587,0.31195,0.625,0.23648,0.14331,1.81418,3.01978,1.75056,0.000676802,0.000676802,0.000676802
38,1179.37,0.80734,0.63698,1.08725,0.57704,0.625,0.33973,0.20337,1.88387,2.90613,1.78677,0.000649297,0.000649297,0.000649297
39,1207.51,0.80168,0.66729,1.07126,0.68543,0.625,0.37241,0.21094,2.21372,3.0827,1.89975,0.000621791,0.000621791,0.000621791
40,1236,0.89021,0.72119,1.0902,0.64134,0.625,0.37239,0.2358,2.17278,2.95804,1.80175,0.000594286,0.000594286,0.000594286
41,1263.69,0.74705,0.63995,1.0312,0.64134,0.625,0.37239,0.2358,2.17278,2.95804,1.80175,0.00056678,0.00056678,0.00056678
42,1291.1,0.76487,0.61219,1.0442,0.64141,0.64291,0.49767,0.26083,1.62247,2.53368,1.51729,0.000539275,0.000539275,0.000539275
43,1318.88,0.8154,0.64379,1.03135,0.632,0.66909,0.74671,0.44769,1.59263,2.49624,1.48447,0.000511769,0.000511769,0.000511769
44,1347.15,0.75763,0.58395,1.04067,0.57756,0.72463,0.74685,0.44795,1.81313,2.49423,1.53325,0.000484263,0.000484263,0.000484263
45,1385.21,0.75344,0.61042,1.05482,0.57756,0.72463,0.74685,0.44795,1.81313,2.49423,1.53325,0.000456758,0.000456758,0.000456758
46,1422.81,0.73632,0.60738,1.02629,0.58535,0.74028,0.74927,0.48557,2.03601,2.55431,1.65119,0.000429253,0.000429253,0.000429253
47,1454.13,0.7241,0.59402,1.02487,0.57128,0.73706,0.41954,0.27033,2.03024,2.50375,1.66623,0.000401747,0.000401747,0.000401747
48,1481.87,0.71562,0.57846,0.98268,0.58559,0.74914,0.38867,0.24763,2.00074,2.41739,1.67228,0.000374242,0.000374242,0.000374242
49,1514.96,0.72125,0.55071,1.01259,0.58559,0.74914,0.38867,0.24763,2.00074,2.41739,1.67228,0.000346736,0.000346736,0.000346736
50,1549.78,0.7578,0.59734,1.08627,0.59044,0.75,0.37692,0.23714,1.87295,2.17868,1.64035,0.000319231,0.000319231,0.000319231
51,1580.06,0.64268,0.62178,0.97162,0.57878,0.75,0.39621,0.25527,1.87228,2.06694,1.64622,0.000291725,0.000291725,0.000291725
52,1608.78,0.65037,0.66419,0.98401,0.77297,0.75,0.75745,0.53665,1.91122,1.98164,1.6744,0.00026422,0.00026422,0.00026422
53,1641.34,0.63757,0.59007,0.98283,0.77297,0.75,0.75745,0.53665,1.91122,1.98164,1.6744,0.000236714,0.000236714,0.000236714
54,1675.85,0.64522,0.54897,0.99396,0.96132,0.70727,0.75314,0.48598,1.95044,1.9545,1.71737,0.000209209,0.000209209,0.000209209
55,1703.8,0.60066,0.50287,0.94648,0.94112,0.68955,0.75198,0.53549,1.9739,1.89717,1.74637,0.000181703,0.000181703,0.000181703
56,1731.51,0.62309,0.51257,0.9571,0.87518,0.71892,0.76059,0.53719,1.91356,1.81624,1.70787,0.000154198,0.000154198,0.000154198
57,1763.14,0.63505,0.50821,0.97452,0.87518,0.71892,0.76059,0.53719,1.91356,1.81624,1.70787,0.000126692,0.000126692,0.000126692
58,1797.7,0.54831,0.49201,0.94934,0.86423,0.72529,0.77686,0.54667,1.87623,1.77398,1.67705,9.91865e-05,9.91865e-05,9.91865e-05
59,1827.25,0.58045,0.46753,0.94639,0.85982,0.73576,0.80814,0.57151,1.78295,1.69001,1.63531,7.1681e-05,7.1681e-05,7.1681e-05
60,1855.52,0.54428,0.47743,0.93854,0.86585,0.73583,0.79924,0.6177,1.74426,1.59347,1.62064,4.41755e-05,4.41755e-05,4.41755e-05
