epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5236,1.57542,4.05496,1.59624,0.00044,0.125,0.00038,0.00015,2.86936,8.20951,2.57201,3.334e-05,3.334e-05,3.334e-05
2,73.1517,1.4357,3.05081,1.58565,0.34634,0.5,0.50102,0.20021,2.51122,5.73994,2.41181,8.19747e-05,8.19747e-05,8.19747e-05
3,102.513,1.34958,2.22932,1.42922,0.59533,0.625,0.61532,0.22603,2.13147,7.53503,2.10311,0.000128959,0.000128959,0.000128959
4,131.623,1.29326,1.90821,1.4389,0.61242,0.625,0.57809,0.2344,2.08698,5.72261,2.04402,0.000174293,0.000174293,0.000174293
5,164.642,1.31316,1.74487,1.40468,0.26486,0.75,0.46909,0.25556,1.88049,2.84069,1.91524,0.000217977,0.000217977,0.000217977
6,201.404,1.14654,1.49428,1.29478,0.74733,0.85618,0.80802,0.47425,1.95615,2.45705,2.0258,0.00026001,0.00026001,0.00026001
7,231.32,1.27093,1.47634,1.34567,0.80703,0.75813,0.80837,0.40391,2.02441,2.30158,1.90894,0.000300393,0.000300393,0.000300393
8,259.371,1.12109,1.4859,1.29189,0.30803,0.875,0.46846,0.26282,1.96296,2.72442,1.89401,0.000339126,0.000339126,0.000339126
9,290.927,1.26844,1.41981,1.35519,1,0.22822,0.29785,0.13963,1.63677,3.1463,1.71597,0.000376209,0.000376209,0.000376209
10,327.422,1.15069,1.35844,1.2876,0.98006,0.25,0.29022,0.15781,1.71546,3.20167,1.64032,0.000411641,0.000411641,0.000411641
11,357.936,1.07741,1.17974,1.23151,0.86864,0.35592,0.38143,0.22272,1.48493,3.09501,1.52541,0.000445422,0.000445422,0.000445422
12,385.974,1.15493,1.17959,1.23409,0.35172,0.375,0.3114,0.16815,1.53302,3.66364,1.52507,0.000477554,0.000477554,0.000477554
13,416.872,1.12266,1.16395,1.25591,0.19067,0.25,0.236,0.10486,1.94771,3.88858,1.77211,0.000508035,0.000508035,0.000508035
14,452.727,1.16506,1.10082,1.17975,0.77479,0.375,0.335,0.14757,1.95043,3.2062,1.79178,0.000536866,0.000536866,0.000536866
15,484.326,1.11198,1.11164,1.20691,0.71525,0.125,0.11259,0.06213,1.93431,3.95803,1.77087,0.000564046,0.000564046,0.000564046
16,512.103,1.05307,1.00026,1.18384,0.29476,0.375,0.3025,0.16107,1.85697,3.29898,1.73262,0.000589576,0.000589576,0.000589576
17,540.292,1.14782,1.04223,1.26447,0.86031,0.375,0.34188,0.20922,1.38482,2.89727,1.40625,0.000613456,0.000613456,0.000613456
18,575.451,1.2543,0.96567,1.20243,0.79545,0.375,0.28762,0.17414,1.3287,2.6641,1.40771,0.000635685,0.000635685,0.000635685
19,607.757,1.07718,0.94055,1.17935,0.28559,0.5,0.31278,0.17121,1.6836,3.04739,1.65727,0.000656265,0.000656265,0.000656265
20,635.791,1.07017,0.86585,1.19503,0.21347,0.37286,0.24303,0.09539,2.02499,2.93832,1.85532,0.000675193,0.000675193,0.000675193
21,665.223,1.20651,0.90229,1.20824,0.27081,0.875,0.27014,0.11805,1.9586,2.62817,1.90667,0.000692472,0.000692472,0.000692472
22,700.885,0.98318,0.9585,1.16226,0.27875,0.875,0.25301,0.1296,1.57839,3.1296,1.52301,0.0007081,0.0007081,0.0007081
